,File,Peaks
44,JOFA9N,"[299, 446, 591, 734, 879, 1030, 1179, 1326, 1462, 1595, 1727, 1859, 1995, 2130, 2259, 2391, 2523, 2657, 2787, 2922, 3058, 3193, 3325, 3453, 3581, 3710, 3842, 3974, 4106, 4234, 4362, 4490, 4618, 4742, 4869, 4994, 5125, 5257, 5390, 5533, 5680, 5832, 5981, 6126, 6269, 6413, 6558, 6701, 6841, 6988, 7137, 7281, 7428, 7573, 7721, 7865, 8013, 8161, 8312, 8464, 8612, 8757, 8904, 9052, 9193, 9335, 9481, 9637, 9793, 9948, 10111, 10271, 10421, 10584, 10756, 10920, 11084, 11243, 11400, 11552, 11700]"
45,JJHPMR,"[309, 441, 581, 733, 905, 1093, 1277, 1461, 1637, 1801, 1946, 2090, 2241, 2401, 2561, 2729, 2897, 3062, 3229, 3385, 3533, 3669, 3810, 3946, 4093, 4250, 4405, 4557, 4709, 4865, 5026, 5201, 5369, 5537, 5701, 5857, 6001, 6134, 6265, 6393, 6521, 6657, 6809, 6974, 7146, 7310, 7465, 7613, 7753, 7894, 8041, 8190, 8342, 8490, 8634, 8770, 8906, 9042, 9181, 9318, 9454, 9586, 9726, 9870, 10019, 10195, 10374, 10546, 10710, 10863, 11010, 11150, 11286, 11418, 11546, 11675]"
46,9ZN9QG,"[314, 314, 466, 610, 746, 878, 1003, 1131, 1262, 1398, 1539, 1687, 1846, 2018, 2194, 2363, 2523, 2670, 2803, 2931, 3052, 3175, 3295, 3415, 3539, 3672, 3823, 3992, 4184, 4380, 4579, 4780, 4980, 5172, 5348, 5517, 5681, 5837, 5992, 6145, 6301, 6461, 6625, 6797, 6973, 7149, 7321, 7485, 7648, 7804, 7953, 8093, 8236, 8381, 8541, 8697, 8846, 8982, 9113, 9246, 9393, 9550, 9706, 9854, 10002, 10161, 10329, 10505, 10685, 10862, 11025, 11185, 11341, 11497, 11653, 11817]"
47,USN1UV,"[291, 463, 619, 767, 907, 1047, 1195, 1367, 1547, 1726, 1895, 2058, 2214, 2370, 2527, 2686, 2842, 2994, 3151, 3318, 3490, 3666, 3831, 3990, 4138, 4279, 4418, 4571, 4742, 4922, 5098, 5262, 5423, 5590, 5754, 5914, 6078, 6235, 6394, 6546, 6699, 6858, 7022, 7186, 7362, 7530, 7694, 7854, 8010, 8170, 8322, 8470, 8614, 8762, 8918, 9073, 9229, 9390, 9554, 9725, 9890, 10049, 10205, 10362, 10522, 10686, 10854, 11021, 11190, 11362, 11537, 11710]"
48,K3BHSJ,"[343, 512, 688, 875, 1055, 1232, 1404, 1568, 1735, 1896, 2060, 2232, 2404, 2580, 2759, 2932, 3103, 3276, 3455, 3631, 3804, 3975, 4139, 4303, 4459, 4611, 4764, 4919, 5076, 5239, 5403, 5568, 5728, 5888, 6051, 6208, 6360, 6511, 6656, 6799, 6932, 7063, 7200, 7340, 7488, 7628, 7764, 7900, 8043, 8195, 8364, 8536, 8696, 8843, 8991, 9140, 9312, 9487, 9657, 9823, 9987, 10156, 10327, 10496, 10656, 10816, 10981, 11144, 11296, 11444, 11595, 11748]"
49,VVB5EQ,"[252, 417, 588, 756, 928, 1103, 1280, 1463, 1651, 1832, 2012, 2191, 2364, 2535, 2696, 2864, 3035, 3219, 3404, 3591, 3767, 3940, 4107, 4267, 4423, 4576, 4739, 4907, 5083, 5263, 5435, 5596, 5751, 5903, 6051, 6196, 6346, 6498, 6647, 6803, 6958, 7110, 7255, 7399, 7543, 7695, 7854, 8007, 8154, 8287, 8418, 8543, 8670, 8799, 8931, 9058, 9179, 9302, 9422, 9539, 9666, 9803, 9951, 10095, 10238, 10387, 10547, 10713, 10874, 11026, 11178, 11326, 11474, 11622, 11774]"
50,YW81ZI,"[241, 400, 560, 716, 868, 1021, 1176, 1320, 1457, 1600, 1741, 1892, 2045, 2205, 2369, 2529, 2684, 2833, 2984, 3136, 3294, 3458, 3613, 3768, 3924, 4077, 4226, 4374, 4514, 4653, 4790, 4924, 5054, 5185, 5310, 5433, 5557, 5682, 5821, 5974, 6126, 6278, 6433, 6585, 6738, 6892, 7034, 7170, 7313, 7453, 7592, 7734, 7869, 7997, 8122, 8246, 8368, 8498, 8638, 8785, 8925, 9065, 9217, 9377, 9544, 9701, 9857, 10018, 10185, 10349, 10506, 10657, 10802, 10950, 11101, 11250, 11397, 11545, 11690, 11838]"
51,FSEWXY,"[298, 439, 583, 583, 722, 858, 991, 1126, 1259, 1390, 1518, 1767, 1894, 2018, 2145, 2271, 2398, 2522, 2645, 2763, 2882, 2999, 3114, 3229, 3346, 3466, 3594, 3733, 3867, 4005, 4005, 4138, 4285, 4435, 4435, 4586, 4790, 4790, 4926, 5010, 5010, 5142, 5273, 5405, 5545, 5545, 5686, 5830, 5973, 6113, 6254, 6394, 6541, 6541, 6689, 6834, 6977, 7113, 7249, 7385, 7522, 7661, 7801, 7970, 8156, 8225, 8360, 8506, 8669, 8769, 8896, 9022, 9152, 9284, 9413, 9545, 9677, 9817, 9817, 9960, 10101, 10236, 10361, 10481, 10601, 10720, 10848, 10985, 11133, 11277, 11417, 11557, 11701]"
52,CCUOFB,"[271, 427, 576, 716, 848, 976, 1103, 1224, 1347, 1464, 1464, 1587, 1711, 1711, 1711, 1836, 1960, 2203, 2203, 2323, 2447, 2575, 2703, 2827, 2950, 3072, 3203, 3339, 3476, 3615, 3747, 3882, 4014, 4143, 4271, 4395, 4519, 4639, 4758, 4872, 4990, 5107, 5227, 5351, 5479, 5610, 5735, 5859, 5986, 6111, 6242, 6375, 6510, 6643, 6643, 6775, 6907, 7038, 7167, 7283, 7423, 7547, 7671, 7799, 7928, 8059, 8187, 8316, 8443, 8571, 8710, 8847, 8983, 9115, 9242, 9363, 9483, 9603, 9723, 9847, 9978, 10115, 10251, 10383, 10495, 10640, 10768, 10896, 11024, 11151, 11272, 11399, 11532, 11676, 11828]"
53,S93O3C,"[292, 428, 565, 701, 844, 985, 1129, 1272, 1413, 1553, 1692, 1828, 1961, 2092, 2220, 2352, 2488, 2628, 2769, 2913, 3056, 3197, 3337, 3473, 3609, 3744, 3873, 4004, 4136, 4272, 4412, 4556, 4701, 4848, 4848, 4989, 5125, 5261, 5389, 5517, 5641, 5768, 5893, 6024, 6157, 6285, 6421, 6557, 6697, 6837, 6978, 7121, 7260, 7393, 7525, 7657, 7782, 7914, 8045, 8174, 8305, 8436, 8568, 8697, 8822, 8945, 9070, 9193, 9313, 9433, 9561, 9690, 9824, 9957, 10100, 10257, 10413, 10569, 10717, 10858, 11001, 11142, 11282, 11421, 11554, 11686, 11817]"
54,QCGRJ5,"[266, 266, 402, 538, 677, 817, 957, 1090, 1218, 1350, 1486, 1486, 1677, 1762, 1902, 2041, 2177, 2317, 2461, 2610, 2761, 2914, 3070, 3230, 3389, 3538, 3682, 3822, 3958, 4094, 4229, 4368, 4508, 4645, 4793, 4940, 5085, 5229, 5368, 5501, 5629, 5752, 5869, 5985, 6104, 6225, 6356, 6492, 6629, 6768, 6904, 7040, 7171, 7299, 7428, 7560, 7696, 7831, 7964, 8099, 8236, 8375, 8515, 8655, 8792, 8931, 9068, 9203, 9336, 9476, 9616, 9756, 9896, 10034, 10168, 10303, 10435, 10560, 10683, 10807, 10927, 11047, 11166, 11284, 11403, 11522, 11643]"
55,RA5QR5,"[314, 314, 482, 637, 789, 937, 1085, 1233, 1386, 1545, 1705, 1865, 2022, 2174, 2318, 2466, 2614, 2754, 2754, 2901, 3054, 3210, 3369, 3525, 3678, 3826, 3965, 4102, 4241, 4385, 4538, 4698, 4865, 5037, 5210, 5378, 5542, 5706, 5862, 6022, 6182, 6342, 6506, 6666, 6822, 6978, 7127, 7274, 7417, 7553, 7697, 7842, 7987, 8138, 8294, 8450, 8602, 8747, 8886, 9018, 9147, 9278, 9410, 9542, 9618, 9669, 9790, 10050, 10249, 10359, 10471, 10594, 10755, 10998, 11147, 11334, 11546, 11742]"
56,EPGPFQ,"[83, 232, 383, 535, 688, 839, 992, 1153, 1316, 1472, 1627, 1781, 1933, 2081, 2225, 2368, 2505, 2656, 2812, 2973, 3140, 3305, 3469, 3629, 3781, 3929, 4076, 4217, 4356, 4493, 4637, 4789, 4941, 5097, 5248, 5396, 5533, 5661, 5781, 5901, 6017, 6132, 6245, 6369, 6517, 6696, 6886, 7097, 7097, 7281, 7477, 7674, 7862, 8026, 8026, 8173, 8301, 8426, 8553, 8690, 8853, 9014, 9170, 9319, 9469, 9623, 9782, 9938, 10098, 10263, 10439, 10615, 10787, 10946, 11098, 11243, 11395, 11543, 11699]"
57,QWI05U,"[101, 253, 400, 545, 689, 832, 972, 1113, 1284, 1465, 1649, 1836, 2016, 2190, 2357, 2516, 2673, 2826, 2985, 3153, 3326, 3506, 3685, 3850, 4006, 4157, 4306, 4458, 4614, 4769, 4922, 5081, 5241, 5398, 5554, 5705, 5850, 5998, 6146, 6294, 6439, 6583, 6727, 6874, 7023, 7174, 7327, 7483, 7635, 7783, 7934, 8086, 8239, 8398, 8555, 8707, 8859, 9011, 9160, 9310, 9455, 9599, 9738, 9875, 10003, 10136, 10276, 10428, 10587, 10751, 10904, 11055, 11203, 11352, 11507, 11660, 11816]"
58,HGGX85,"[43, 200, 364, 524, 680, 839, 991, 1147, 1303, 1463, 1619, 1775, 1931, 2090, 2250, 2408, 2563, 2715, 2871, 3031, 3199, 3371, 3542, 3706, 3866, 4022, 4174, 4322, 4467, 4611, 4758, 4906, 5058, 5210, 5355, 5498, 5642, 5786, 5930, 6073, 6210, 6339, 6466, 6594, 6722, 6846, 6970, 7094, 7222, 7349, 7490, 7637, 7782, 7922, 8070, 8230, 8390, 8537, 8677, 8814, 8957, 9094, 9234, 9369, 9501, 9634, 9774, 9917, 10061, 10206, 10342, 10478, 10614, 10746, 10877, 11002, 11130, 11269, 11414, 11566, 11721]"
59,7BUB6D,"[125, 281, 433, 589, 749, 912, 1072, 1233, 1393, 1557, 1722, 1882, 2038, 2194, 2349, 2505, 2670, 2834, 2998, 3157, 3314, 3470, 3630, 3794, 3958, 4122, 4278, 4430, 4585, 4741, 4894, 5049, 5194, 5338, 5485, 5630, 5782, 5942, 6105, 6270, 6426, 6574, 6721, 6863, 7009, 7154, 7298, 7534, 7534, 7730, 7862, 7987, 8110, 8225, 8353, 8483, 8630, 8789, 8949, 9102, 9246, 9382, 9511, 9642, 9775, 9915, 10054, 10190, 10327, 10477, 10638, 10806, 10978, 11139, 11301, 11465, 11625]"
60,PILM37,"[59, 218, 375, 538, 695, 857, 1022, 1189, 1362, 1531, 1695, 1850, 1999, 2150, 2302, 2458, 2619, 2619, 2786, 2962, 3134, 3298, 3455, 3607, 3766, 3930, 4099, 4275, 4443, 4606, 4763, 4922, 5079, 5238, 5398, 5551, 5699, 5850, 5995, 6139, 6275, 6426, 6583, 6750, 6906, 7058, 7207, 7354, 7502, 7650, 7798, 7939, 8091, 8246, 8399, 8548, 8687, 8823, 8956, 9095, 9236, 9379, 9523, 9663, 9811, 9959, 10107, 10255, 10400, 10544, 10695, 10848, 11000, 11152, 11299, 11448, 11603, 11755]"
61,6A4VMQ,"[185, 381, 577, 777, 981, 1169, 1361, 1557, 1742, 1922, 2130, 2319, 2514, 2706, 2893, 3087, 3282, 3470, 3662, 3858, 4046, 4238, 4422, 4639, 4838, 5044, 5254, 5439, 5664, 5870, 6070, 6279, 6480, 6680, 6879, 7079, 7272, 7475, 7675, 7871, 8071, 8268, 8464, 8664, 8868, 9063, 9063, 9265, 9468, 9665, 9860, 10061, 10261, 10456, 10642, 10861, 11057, 11266, 11466, 11466, 11665]"
62,UF0MBP,"[188, 392, 599, 803, 1007, 1215, 1416, 1627, 1828, 1828, 2031, 2220, 2438, 2643, 2850, 3047, 3255, 3463, 3662, 3870, 4070, 4275, 4478, 4478, 4678, 4879, 5082, 5278, 5470, 5659, 5835, 6010, 6189, 6361, 6534, 6731, 6917, 7102, 7285, 7461, 7633, 7805, 7973, 8147, 8389, 8389, 8609, 8825, 9037, 9037, 9245, 9433, 9605, 9773, 9940, 10165, 10381, 10597, 10808, 11021, 11223, 11412, 11592, 11792]"
63,VO0TS3,"[2066, 2302, 2538, 2538, 2764, 2982, 3206, 3206, 3425, 3425, 3641, 3858, 4069, 4277, 4486, 4677, 4857, 5020, 5229, 5417, 5628, 5844, 6060, 6268, 6459, 6644, 6824, 7004, 7184, 7384, 7584, 7799, 8011, 8220, 8421, 8603, 8779, 8951, 9130, 9307, 9527, 9527, 9746, 9962, 10159, 10342, 10522, 10726, 10862, 10862, 11027, 11205, 11410, 11626]"
64,312XVD,"[2015, 2015, 2205, 2412, 2611, 2800, 2989, 3178, 3364, 3565, 3764, 3956, 4138, 4368, 4368, 4588, 4808, 5024, 5232, 5444, 5636, 5816, 5988, 6176, 6360, 6564, 6788, 6996, 6996, 7204, 7204, 7388, 7560, 7730, 7932, 8124, 8321, 8519, 8704, 8884, 9058, 9228, 9398, 9568, 9742, 9916, 10090, 10269, 10448, 10621, 10793, 10969, 11133, 11299, 11465, 11634, 11802]"
65,5O1C6A,"[2888, 3068, 3256, 3453, 3649, 3856, 4060, 4257, 4456, 4657, 4848, 4848, 5033, 5228, 5228, 5412, 5600, 5774, 5868, 5976, 6152, 6284, 6508, 6682, 6682, 6882, 7049, 7225, 7401, 7582, 7759, 7931, 8129, 8315, 8510, 8702, 8890, 9065, 9245, 9414, 9585, 9753, 9954, 10138, 10309, 10527, 10527, 10725, 10921, 11118, 11294, 11494, 11706]"
66,GZ2WUP,"[300, 502, 690, 852, 1007, 1159, 1313, 1565, 1565, 1771, 1971, 1971, 2147, 2307, 2462, 2615, 2774, 2928, 3081, 3239, 3398, 3549, 3702, 3854, 4004, 4159, 4314, 4462, 4614, 4761, 4901, 5041, 5188, 5338, 5492, 5660, 5822, 5978, 6138, 6301, 6457, 6615, 6765, 6915, 7068, 7219, 7365, 7512, 7659, 7806, 7955, 8109, 8257, 8401, 8546, 8697, 8854, 9006, 9163, 9321, 9469, 9618, 9769, 9919, 10063, 10208, 10353, 10498, 10649, 10797, 10944, 11088, 11236, 11378, 11517, 11658]"
67,OBXF3C,"[274, 422, 571, 716, 856, 996, 1130, 1263, 1399, 1539, 1685, 1841, 2005, 2165, 2326, 2475, 2618, 2759, 2898, 3036, 3174, 3315, 3464, 3615, 3763, 3914, 4060, 4205, 4348, 4487, 4623, 4758, 4892, 5025, 5156, 5292, 5434, 5580, 5726, 5879, 6023, 6162, 6299, 6434, 6568, 6703, 6838, 6970, 7103, 7238, 7374, 7515, 7660, 7806, 7952, 8097, 8241, 8382, 8527, 8669, 8811, 8954, 9098, 9239, 9384, 9532, 9677, 9828, 9980, 10127, 10268, 10410, 10556, 10704, 10850, 10998, 11137, 11277, 11420, 11565, 11707]"
68,OLCGSU,"[465, 465, 718, 905, 1093, 1093, 1279, 1464, 1656, 1842, 2031, 2219, 2365, 2419, 2605, 2605, 2789, 2976, 2976, 3154, 3333, 3519, 3706, 3706, 3901, 4081, 4252, 4428, 4617, 4617, 4796, 4980, 5162, 5162, 5347, 5536, 5536, 5730, 5730, 5914, 6082, 6255, 6434, 6607, 6782, 6782, 6964, 7134, 7134, 7296, 7450, 7603, 7756, 7914, 8076, 8238, 8397, 8551, 8706, 8869, 9018, 9203, 9329, 9496, 9657, 9830, 10051, 10051, 10203, 10336, 10454, 10642, 10642, 10818, 10818, 11007, 11202, 11394, 11394, 11583, 11782, 11782]"
69,WY0BMT,"[176, 349, 516, 680, 837, 989, 1141, 1293, 1446, 1598, 1754, 1909, 2061, 2209, 2360, 2514, 2669, 2825, 2982, 3134, 3284, 3433, 3586, 3745, 3906, 4065, 4225, 4386, 4542, 4697, 4852, 5005, 5161, 5316, 5470, 5620, 5769, 5917, 6068, 6221, 6374, 6530, 6682, 6833, 6985, 7138, 7294, 7449, 7601, 7757, 7913, 8070, 8222, 8374, 8525, 8677, 8829, 8978, 9130, 9283, 9438, 9591, 9746, 9902, 10055, 10205, 10354, 10502, 10653, 10802, 10950, 11098, 11247, 11394, 11541, 11686, 11834]"
70,5ZV6UQ,"[163, 311, 458, 598, 732, 868, 1007, 1150, 1291, 1436, 1587, 1742, 1899, 2058, 2210, 2362, 2514, 2662, 2810, 2958, 3103, 3251, 3395, 3539, 3683, 3826, 3971, 4117, 4263, 4406, 4549, 4690, 4833, 4977, 5121, 5269, 5423, 5580, 5733, 5886, 6045, 6204, 6365, 6529, 6685, 6841, 6997, 7153, 7310, 7474, 7640, 7801, 7960, 8118, 8277, 8436, 8588, 8740, 8888, 9041, 9200, 9364, 9532, 9698, 9861, 10025, 10188, 10352, 10509, 10669, 10829, 10989, 11145, 11304, 11461, 11617, 11772]"
71,RQNPAT,"[159, 315, 475, 635, 795, 951, 1106, 1259, 1414, 1570, 1726, 1878, 2026, 2179, 2335, 2494, 2655, 2818, 2973, 3126, 3279, 3434, 3587, 3739, 3890, 4039, 4194, 4354, 4515, 4678, 4842, 5001, 5157, 5306, 5450, 5594, 5738, 5882, 6026, 6174, 6322, 6469, 6613, 6754, 6897, 7042, 7186, 7333, 7481, 7627, 7773, 7918, 8065, 8213, 8362, 8513, 8665, 8813, 8958, 9105, 9250, 9397, 9537, 9676, 9816, 9957, 10100, 10241, 10385, 10529, 10680, 10825, 10973, 11122, 11273, 11417, 11561, 11705]"
72,T6W3IU,"[73, 224, 369, 516, 664, 813, 968, 1117, 1269, 1422, 1577, 1729, 1877, 2023, 2166, 2313, 2455, 2597, 2738, 2882, 3029, 3182, 3345, 3513, 3675, 3834, 3987, 4142, 4294, 4449, 4603, 4756, 4906, 5051, 5195, 5335, 5474, 5611, 5754, 5902, 6047, 6198, 6350, 6503, 6655, 6811, 6959, 7103, 7250, 7395, 7543, 7695, 7848, 8003, 8160, 8322, 8479, 8632, 8787, 8940, 9092, 9243, 9395, 9547, 9700, 9855, 10008, 10160, 10315, 10463, 10608, 10755, 10900, 11048, 11203, 11356, 11508, 11660]"
73,Z9RXJV,"[46, 216, 394, 573, 754, 930, 1104, 1269, 1436, 1604, 1781, 1954, 2126, 2287, 2442, 2593, 2743, 2894, 3047, 3203, 3360, 3523, 3687, 3852, 4017, 4179, 4347, 4517, 4687, 4857, 5025, 5190, 5351, 5514, 5677, 5849, 6025, 6194, 6354, 6508, 6661, 6814, 6969, 7125, 7283, 7443, 7603, 7764, 7923, 8082, 8242, 8403, 8564, 8729, 8892, 9061, 9224, 9391, 9559, 9719, 9875, 10031, 10186, 10339, 10491, 10644, 10796, 10944, 11088, 11233, 11377, 11521, 11668, 11817]"
74,Q5HOYZ,"[104, 277, 458, 640, 814, 983, 1147, 1305, 1460, 1616, 1772, 1933, 2100, 2271, 2444, 2616, 2788, 2960, 3131, 3300, 3469, 3639, 3813, 3980, 4145, 4315, 4480, 4641, 4799, 4961, 5124, 5281, 5433, 5585, 5739, 5892, 6045, 6200, 6356, 6513, 6672, 6829, 6988, 7148, 7305, 7468, 7632, 7799, 7968, 8131, 8292, 8453, 8612, 8771, 8929, 9093, 9256, 9417, 9577, 9733, 9885, 10036, 10186, 10333, 10485, 10640, 10797, 10955, 11112, 11264, 11418, 11570, 11721]"
75,UYU3PR,"[90, 257, 426, 589, 749, 909, 1069, 1228, 1392, 1552, 1714, 1876, 2036, 2198, 2362, 2529, 2696, 2856, 3016, 3180, 3344, 3509, 3666, 3824, 3981, 4138, 4293, 4453, 4612, 4774, 4933, 5093, 5253, 5416, 5573, 5732, 5886, 6044, 6201, 6361, 6521, 6676, 6828, 6977, 7125, 7272, 7420, 7567, 7711, 7859, 8008, 8159, 8313, 8468, 8619, 8768, 9067, 9218, 9369, 9520, 9671, 9824, 9983, 10146, 10312, 10482, 10648, 10815]"
76,VNB5FI,"[382, 543, 735, 867, 1024, 1186, 1348, 1505, 1668, 1777, 1993, 2158, 2321, 2476, 2633, 2788, 2947, 3103, 3265, 3429, 3595, 3754, 3912, 4070, 4226, 4382, 4541, 4701, 4861, 5019, 5179, 5342, 5505, 5659, 5809, 5960, 6110, 6254, 6396, 6540, 6684, 6829, 6978, 7133, 7294, 7460, 7623, 7776, 7915, 8047, 8184, 8327, 8479, 8638, 8808, 8978, 9142, 9308, 9475, 9632, 9787, 9941, 10098, 10253, 10414, 10581, 10754, 10919, 11086, 11254, 11426, 11590, 11751]"
77,6PNOM9,"[128, 277, 439, 610, 779, 941, 1105, 1269, 1431, 1585, 1737, 1885, 2036, 2186, 2346, 2516, 2688, 2848, 3013, 3178, 3341, 3494, 3646, 3798, 3956, 4112, 4269, 4432, 4597, 4767, 4928, 5089, 5251, 5414, 5575, 5736, 5895, 6054, 6211, 6364, 6518, 6675, 6838, 6998, 7155, 7313, 7469, 7620, 7768, 7918, 8071, 8227, 8376, 8525, 8664, 8792, 8920, 9051, 9180, 9316, 9464, 9629, 9793, 9958, 10116, 10269, 10414, 10554, 10696, 10845, 11002, 11166, 11337, 11511, 11680, 11845]"
78,ZKOMWM,"[167, 312, 460, 614, 772, 925, 1072, 1221, 1373, 1533, 1687, 1842, 2000, 2162, 2317, 2473, 2624, 2772, 2917, 3064, 3209, 3343, 3477, 3616, 3758, 3907, 4066, 4227, 4382, 4535, 4692, 4848, 5002, 5156, 5311, 5465, 5613, 5764, 5916, 6069, 6225, 6379, 6538, 6698, 6850, 7001, 7149, 7295, 7437, 7581, 7728, 7884, 8042, 8200, 8359, 8519, 8680, 8832, 8985, 9139, 9299, 9455, 9612, 9774, 9938, 10096, 10254, 10414, 10574, 10730, 10881, 11034, 11187, 11341, 11489, 11639, 11792]"
79,2V7X6G,"[148, 298, 449, 597, 747, 900, 1061, 1226, 1389, 1554, 1721, 1885, 2043, 2200, 2358, 2515, 2666, 2818, 2971, 3130, 3287, 3445, 3607, 3770, 3926, 4078, 4232, 4386, 4542, 4695, 4849, 5006, 5167, 5326, 5478, 5633, 5786, 5941, 6096, 6247, 6398, 6551, 6708, 6864, 7019, 7174, 7329, 7484, 7632, 7781, 7932, 8085, 8236, 8390, 8545, 8701, 8853, 9005, 9157, 9310, 9464, 9612, 9759, 9907, 10056, 10202, 10346, 10491, 10638, 10788, 10938, 11091, 11249, 11408, 11564, 11720]"
80,UTK879,"[120, 271, 420, 567, 707, 842, 978, 1120, 1265, 1419, 1580, 1743, 1907, 2073, 2238, 2400, 2560, 2717, 2874, 3030, 3188, 3346, 3503, 3664, 3826, 3988, 4147, 4309, 4470, 4628, 4789, 4946, 5103, 5261, 5422, 5580, 5738, 5904, 6071, 6231, 6388, 6537, 6678, 6817, 6959, 7105, 7258, 7416, 7577, 7737, 7895, 8038, 8179, 8319, 8461, 8607, 8755, 8905, 9059, 9211, 9367, 9518, 9671, 9826, 9979, 10135, 10292, 10450, 10606, 10761, 10921, 11078, 11237, 11396, 11555, 11712]"
81,9W1JP1,"[68, 223, 374, 526, 682, 836, 990, 1150, 1308, 1465, 1623, 1780, 1936, 2093, 2252, 2409, 2568, 2726, 2882, 3036, 3191, 3348, 3504, 3659, 3820, 3981, 4142, 4297, 4453, 4609, 4762, 4915, 6025, 6185, 6342, 6494, 6642, 6788, 6934, 7071, 7211, 7358, 7575, 7672, 7841, 8006, 8166, 8325, 8483, 8639, 8793, 8948, 9104, 9262, 9417, 9566, 9751, 9879, 9879, 10044, 10211, 10374, 10535, 10696, 10854, 11033, 11175, 11338, 11499, 11663, 11827]"
82,KE5TJU,"[1245, 1407, 1568, 1735, 1908, 2083, 2248, 2418, 2587, 2765, 2943, 3118, 3300, 3481, 3655, 3835, 4013, 4188, 4352, 4514, 4677, 4848, 5024, 5198, 5367, 5539, 5711, 5885, 6051, 6216, 6383, 6556, 6729, 6828, 6828, 7064, 7220, 7373, 7521, 7669, 7818, 7963, 8126, 8303, 8474, 8650, 8826, 8995, 9158, 9322, 9485, 9638, 9797, 9958, 10129, 10129, 10305, 10405, 10646, 10804, 10964, 11130, 11293, 11471, 11669]"
83,WP622F,"[154, 331, 502, 676, 851, 1020, 1186, 1357, 1534, 1718, 1892, 2061, 2234, 2420, 2585, 2757, 2926, 3101, 3279, 3460, 3630, 3789, 3946, 4106, 4276, 4453, 4629, 4814, 5004, 5004, 5194, 5380, 5555, 5730, 5903, 6077, 6253, 6614, 6803, 6982, 7152, 7322, 7494, 7668, 7668, 7834, 8002, 8032, 8170, 8334, 8488, 8639, 8793, 8954, 9115, 9274, 9429, 9574, 9722, 9884, 10050, 10223, 10399, 10573, 10742, 10900, 11060, 11221, 11386, 11549, 11703]"
84,55BXLX,"[177, 332, 484, 630, 791, 965, 1136, 1318, 1507, 1693, 1876, 2045, 2216, 2380, 2541, 2699, 2863, 3037, 3213, 3386, 3549, 3703, 3855, 4011, 4175, 4347, 4519, 4693, 4874, 5059, 5241, 5408, 5574, 5737, 5897, 6056, 6212, 6360, 6506, 6653, 6809, 6972, 7138, 7295, 7445, 7589, 7899, 8067, 8226, 8386, 8545, 8778, 9052, 9164, 9320, 9480, 9644, 9816, 9984, 10148, 10306, 10468, 10635, 10635, 10800, 10967, 11141, 11304, 11467, 11636]"
85,B60NI3,"[267, 425, 581, 732, 887, 1046, 1046, 1205, 1359, 1519, 1678, 1831, 1979, 2114, 2252, 2397, 2544, 2697, 2865, 3041, 3041, 3210, 3384, 3555, 3724, 3885, 4049, 4211, 4370, 4524, 4676, 4831, 4992, 5150, 5302, 5461, 5622, 5777, 5929, 6084, 6245, 6401, 6555, 6555, 6717, 6880, 7041, 7190, 7335, 7480, 7626, 7767, 7912, 8064, 8228, 8385, 8544, 8705, 8870, 9025, 9177, 9331, 9485, 9637, 9784, 9931, 10080, 10231, 10376, 10524, 10675, 10827, 10973, 11123, 11273, 11420, 11560, 11703]"
86,BZ2NPP,"[356, 512, 666, 815, 963, 1111, 1258, 1398, 1539, 1683, 1832, 1982, 2128, 2269, 2401, 2534, 2672, 2825, 2977, 3130, 3286, 3444, 3594, 3744, 3893, 4047, 4197, 4349, 4500, 4653, 4806, 4953, 5102, 5255, 5405, 5554, 5707, 5862, 6018, 6179, 6179, 6336, 6488, 6630, 6774, 6919, 7066, 7206, 7346, 7482, 7619, 7754, 7885, 8022, 8162, 8313, 8475, 8649, 8812, 8977, 9136, 9293, 9440, 9586, 9733, 9881, 10024, 10166, 10310, 10457, 10606, 10748, 10890, 11036, 11184, 11336, 11482, 11630, 11783]"
87,2WFVAN,"[206, 352, 502, 657, 816, 973, 1123, 1268, 1417, 1567, 1718, 1867, 2011, 2157, 2306, 2458, 2612, 2761, 2912, 3065, 3218, 3365, 3514, 3663, 3816, 3965, 4113, 4264, 4415, 4564, 4709, 4852, 4998, 5144, 5292, 5437, 5582, 5733, 5891, 6054, 6217, 6366, 6518, 6665, 6814, 6958, 7098, 7242, 7393, 7550, 7702, 7854, 8013, 8178, 8350, 8521, 8680, 8837, 8988, 9137, 9278, 9425, 9571, 9715, 9860, 9999, 10137, 10269, 10403, 10541, 10683, 10834, 10993, 11151, 11300, 11448, 11594, 11741]"
88,1271B9,"[254, 254, 423, 589, 746, 900, 1052, 1203, 1344, 1488, 1637, 1789, 1941, 2090, 2245, 2406, 2565, 2715, 2865, 3013, 3157, 3297, 3507, 3507, 3707, 3849, 3988, 4125, 4268, 4417, 4563, 4711, 4862, 5014, 5167, 5321, 5466, 5612, 5755, 5900, 6045, 6194, 6345, 6503, 6657, 6814, 6973, 7129, 7279, 7436, 7592, 7749, 7896, 8045, 8197, 8357, 8510, 8661, 8810, 8957, 9107, 9257, 9411, 9564, 9713, 9864, 10014, 10166, 10312, 10454, 10593, 10735, 10882, 11036, 11190, 11346, 11493, 11635, 11769]"
